PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Nikola Jokić,2021-22,0.309,0.5806849349857782,0.7998442367601247,0.0807453416149068,0.07005451713395636,High
Kristaps Porziņģis,2021-22,0.286,0.6661103511171911,0.8948306595365418,0.2112956810631229,0.06310160427807486,High
Anthony Davis,2021-22,0.263,0.6120027729158407,0.8361344537815126,0.1196777905638665,0.057352941176470586,High
Klay Thompson,2021-22,0.284,0.5695034860324739,0.7009966777408638,0.1864788732394366,0.10465116279069765,High
LeBron James,2021-22,0.317,0.4353761772178861,0.46489773355444997,0.1321100917431192,0.1872857932559425,Moderate
Karl-Anthony Towns,2021-22,0.272,0.6032738095238095,0.8015873015873016,0.1428571428571428,0.06944444444444443,High
Joel Embiid,2021-22,0.375,0.5312474671700779,0.6342477140482128,0.1701477330616403,0.12801330008312553,High
Jaylen Brown,2021-22,0.298,0.44313967752412275,0.4806428049671293,0.1323608860075635,0.18177501826150474,Moderate
Jerami Grant,2021-22,0.253,0.5244220921113175,0.6048014773776547,0.1916610625420309,0.13831948291782084,High
Stephen Curry,2021-22,0.293,0.4192885160194706,0.3975749840459476,0.1799163179916318,0.21084875558391833,Moderate
Kevin Durant,2021-22,0.31,0.3849733517464451,0.41631205673758864,0.0557749259624876,0.20429078014184396,Moderate
Julius Randle,2021-22,0.279,0.448213630526509,0.4945147679324895,0.127536231884058,0.17691983122362867,Moderate
Brandon Ingram,2021-22,0.291,0.41115254359417786,0.44357976653696496,0.0925925925925926,0.19474708171206226,Moderate
RJ Barrett,2021-22,0.268,0.4285767511177347,0.43356643356643354,0.1563231850117096,0.19825174825174824,Moderate
Pascal Siakam,2021-22,0.257,0.40017410122398783,0.37994542974079126,0.1498591549295774,0.21701909959072305,Moderate
Jordan Poole,2021-22,0.252,0.5142152111267237,0.5194312796208531,0.2814070351758794,0.1681990521327014,High
Jayson Tatum,2021-22,0.313,0.375251061168269,0.37396694214876036,0.086977648202138,0.21911157024793385,Moderate
LaMelo Ball,2021-22,0.271,0.4736174302204986,0.4003021148036253,0.3313432835820895,0.20989425981873114,High
Matt Ryan,2021-22,0.357,0.79,1.0,0.4,0.0,High
Devin Booker,2021-22,0.313,0.37662398943397635,0.34540389972144847,0.1306845380564863,0.22910863509749302,Moderate
Kyrie Irving,2021-22,0.283,0.3396104335910737,0.27343316694398223,0.1251764705882353,0.2542983915696062,Low
Paul George,2021-22,0.329,0.3271388580658957,0.28147268408551074,0.078345498783455,0.25148456057007124,Low
Cade Cunningham,2021-22,0.273,0.41031742515898145,0.34795539033457246,0.223397635345364,0.2282156133828996,Moderate
Collin Sexton,2021-22,0.264,0.43501583600104676,0.4474445515911283,0.1553903345724907,0.19339440694310508,Moderate
Khris Middleton,2021-22,0.255,,0.3824027072758037,,0.2161590524534687,
Giannis Antetokounmpo,2021-22,0.34,0.3897695862667517,0.35948759007205766,0.1486268174474959,0.2241793434747798,Moderate
Jimmy Butler III,2021-22,0.26,0.4066605601844963,0.43230174081237904,0.0954670329670329,0.19869439071566733,Moderate
DeMarcus Cousins,2021-22,0.267,,0.9087136929460581,,0.05477178423236514,
Jordan Clarkson,2021-22,0.258,0.4107421874999999,0.38020833333333326,0.1796874999999999,0.21692708333333335,Moderate
Tyler Herro,2021-22,0.278,0.37204951958224786,0.33307632999229,0.1347851677457327,0.2334232845026985,Moderate
Bradley Beal,2021-22,0.297,0.35401949609821903,0.29492455418381347,0.1364107883817427,0.24677640603566528,Low
Anthony Edwards,2021-22,0.262,0.3733015478164732,0.31940298507462683,0.1574074074074074,0.23820895522388058,Moderate
Reggie Jackson,2021-22,0.273,0.3813022815816578,0.3087591240875912,0.1950920245398773,0.24193430656934306,Moderate
Donovan Mitchell,2021-22,0.322,0.32994100665244136,0.2387096774193549,0.1459143968871595,0.2664516129032258,Low
Zach LaVine,2021-22,0.284,0.36055227257378264,0.30149253731343284,0.1459276018099547,0.2444776119402985,Moderate
CJ McCollum,2021-22,0.269,0.35554423016588815,0.2713602187286398,0.1735889243876464,0.25502392344497604,Low
